2026-03-17 13:31:24 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-17 13:31:24 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-17 13:31:24 | INFO | CI | Fetching data from: https://www.gutenberg.org/files/1661/1661-0.txt
2026-03-18 10:43:34 | INFO | CI | === RUN START ===
2026-03-18 10:43:34 | INFO | CI | project=NLP
2026-03-18 10:43:34 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-18 10:43:34 | INFO | CI | python=3.14.3
2026-03-18 10:43:34 | INFO | CI | os=Windows 11
2026-03-18 10:43:34 | INFO | CI | shell=powershell
2026-03-18 10:43:34 | INFO | CI | cwd=.
2026-03-18 10:43:34 | INFO | CI | github_actions=False
2026-03-18 10:43:34 | INFO | CI | START script.....
2026-03-18 10:43:34 | INFO | CI | ROOT_PATH = .
2026-03-18 10:43:34 | INFO | CI | DATA_PATH = data
2026-03-18 10:43:34 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-18 10:43:34 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-18 10:43:34 | INFO | CI | Fetching data from: https://www.gutenberg.org/files/1661/1661-0.txt
2026-03-18 10:44:26 | INFO | CI | === RUN START ===
2026-03-18 10:44:26 | INFO | CI | project=NLP
2026-03-18 10:44:26 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-18 10:44:26 | INFO | CI | python=3.14.3
2026-03-18 10:44:26 | INFO | CI | os=Windows 11
2026-03-18 10:44:26 | INFO | CI | shell=powershell
2026-03-18 10:44:26 | INFO | CI | cwd=.
2026-03-18 10:44:26 | INFO | CI | github_actions=False
2026-03-18 10:44:26 | INFO | CI | START script.....
2026-03-18 10:44:26 | INFO | CI | ROOT_PATH = .
2026-03-18 10:44:26 | INFO | CI | DATA_PATH = data
2026-03-18 10:44:26 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-18 10:44:26 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-18 10:44:26 | INFO | CI | Fetching data from: https://www.gutenberg.org/files/1661/1661-0.txt
2026-03-18 10:45:59 | INFO | CI | === RUN START ===
2026-03-18 10:45:59 | INFO | CI | project=NLP
2026-03-18 10:45:59 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-18 10:45:59 | INFO | CI | python=3.14.3
2026-03-18 10:45:59 | INFO | CI | os=Windows 11
2026-03-18 10:45:59 | INFO | CI | shell=powershell
2026-03-18 10:45:59 | INFO | CI | cwd=.
2026-03-18 10:45:59 | INFO | CI | github_actions=False
2026-03-18 10:45:59 | INFO | CI | START script.....
2026-03-18 10:45:59 | INFO | CI | ROOT_PATH = .
2026-03-18 10:45:59 | INFO | CI | DATA_PATH = data
2026-03-18 10:45:59 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-18 10:45:59 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-18 10:45:59 | INFO | CI | Fetching data from: https://www.gutenberg.org/files/1661/1661-0.txt
2026-03-18 10:47:11 | INFO | CI | === RUN START ===
2026-03-18 10:47:11 | INFO | CI | project=NLP
2026-03-18 10:47:11 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-18 10:47:11 | INFO | CI | python=3.14.3
2026-03-18 10:47:11 | INFO | CI | os=Windows 11
2026-03-18 10:47:11 | INFO | CI | shell=powershell
2026-03-18 10:47:11 | INFO | CI | cwd=.
2026-03-18 10:47:11 | INFO | CI | github_actions=False
2026-03-18 10:47:11 | INFO | CI | START script.....
2026-03-18 10:47:11 | INFO | CI | ROOT_PATH = .
2026-03-18 10:47:11 | INFO | CI | DATA_PATH = data
2026-03-18 10:47:11 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-18 10:47:11 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-18 10:47:11 | INFO | CI | Fetching data from: https://www.gutenberg.org/files/1661/1661-0.txt
2026-03-18 10:47:24 | INFO | CI | ========================
2026-03-18 10:47:24 | INFO | CI | Pipeline executed successfully!
2026-03-18 10:47:24 | INFO | CI | ========================
2026-03-18 10:47:24 | INFO | CI | END main()
2026-03-18 10:54:33 | INFO | CI | === RUN START ===
2026-03-18 10:54:33 | INFO | CI | project=NLP
2026-03-18 10:54:33 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-18 10:54:33 | INFO | CI | python=3.14.3
2026-03-18 10:54:33 | INFO | CI | os=Windows 11
2026-03-18 10:54:33 | INFO | CI | shell=powershell
2026-03-18 10:54:33 | INFO | CI | cwd=.
2026-03-18 10:54:33 | INFO | CI | github_actions=False
2026-03-18 10:54:33 | INFO | CI | START script.....
2026-03-18 10:54:33 | INFO | CI | ROOT_PATH = .
2026-03-18 10:54:33 | INFO | CI | DATA_PATH = data
2026-03-18 10:54:33 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-18 10:54:33 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-18 10:54:33 | INFO | CI | Fetching data from: https://www.gutenberg.org/files/1661/1661-0.txt
2026-03-18 10:54:38 | INFO | CI | ========================
2026-03-18 10:54:38 | INFO | CI | Pipeline executed successfully!
2026-03-18 10:54:38 | INFO | CI | ========================
2026-03-18 10:54:38 | INFO | CI | END main()
2026-03-18 10:55:40 | INFO | CI | === RUN START ===
2026-03-18 10:55:40 | INFO | CI | project=NLP
2026-03-18 10:55:40 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-18 10:55:40 | INFO | CI | python=3.14.3
2026-03-18 10:55:40 | INFO | CI | os=Windows 11
2026-03-18 10:55:40 | INFO | CI | shell=powershell
2026-03-18 10:55:40 | INFO | CI | cwd=.
2026-03-18 10:55:40 | INFO | CI | github_actions=False
2026-03-18 10:55:40 | INFO | CI | START script.....
2026-03-18 10:55:40 | INFO | CI | ROOT_PATH = .
2026-03-18 10:55:40 | INFO | CI | DATA_PATH = data
2026-03-18 10:55:40 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-18 10:55:40 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-18 10:55:40 | INFO | CI | Fetching data from: https://www.gutenberg.org/files/1661/1661-0.txt
2026-03-18 10:55:47 | INFO | CI | ========================
2026-03-18 10:55:47 | INFO | CI | Pipeline executed successfully!
2026-03-18 10:55:47 | INFO | CI | ========================
2026-03-18 10:55:47 | INFO | CI | END main()
2026-03-18 10:57:39 | INFO | CI | === RUN START ===
2026-03-18 10:57:39 | INFO | CI | project=NLP
2026-03-18 10:57:39 | INFO | CI | repo_dir=nlp-02-text-preprocessing
2026-03-18 10:57:39 | INFO | CI | python=3.14.3
2026-03-18 10:57:39 | INFO | CI | os=Windows 11
2026-03-18 10:57:39 | INFO | CI | shell=powershell
2026-03-18 10:57:39 | INFO | CI | cwd=.
2026-03-18 10:57:39 | INFO | CI | github_actions=False
2026-03-18 10:57:39 | INFO | CI | START script.....
